"HouseStyle","No_of_Bedrooms","Full_Bath","Half_Bath","Total_Sqft","Garage_Type","FirstExterior","SecondExterior","Overall_Condition","Overall_Quality"
"1Story",3,1,1,2456,"Attchd","HdBoard","HdBoard",6,5
"1Story",3,2,0,2468,"Attchd","VinylSd","VinylSd",5,8
"1Story",4,1,1,3400,"Attchd","BrkFace","BrkFace",5,5
"1Story",2,2,0,3122,"Attchd","MetalSd","MetalSd",5,9
"2Story",4,3,1,4904,"BuiltIn","VinylSd","VinylSd",5,8
"1Story",3,1,1,2194,"Attchd","VinylSd","VinylSd",5,5
"1Story",3,1,0,2594,"Attchd","Wd Sdng","Wd Sdng",6,5
"1Story",3,1,0,2114,"Detchd","VinylSd","VinylSd",7,5
"1Story",2,2,0,2304,"0","AsbShng","Plywood",5,4
"1Story",3,2,0,2648,"Attchd","Wd Sdng","Wd Sdng",5,6
"1Story",2,1,1,2656,"Attchd","VinylSd","VinylSd",6,5
"SFoyer",2,1,0,1768,"Attchd","HdBoard","HdBoard",7,5
"1Story",3,1,0,1876,"Detchd","VinylSd","VinylSd",6,5
"1Story",3,1,0,2300,"Attchd","BrkFace","Wd Sdng",6,5
"1Story",2,2,0,3504,"Attchd","MetalSd","MetalSd",5,9
"1.5Fin",1,1,1,4298,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,3312,"Attchd","VinylSd","VinylSd",5,8
"2Story",2,2,0,2904,"0","MetalSd","MetalSd",5,4
"1Story",3,1,0,1910,"Attchd","HdBoard","HdBoard",7,5
"2Story",3,2,0,2940,"Attchd","VinylSd","VinylSd",6,6
"1.5Fin",3,1,0,1992,"Detchd","Wd Sdng","Wd Sdng",6,6
"1Story",2,1,0,1632,"CarPort","Wd Sdng","Wd Sdng",5,5
"1Story",0,0,1,3684,"Attchd","WdShing","Wd Shng",5,9
"SLvl",3,1,0,2720,"Detchd","MetalSd","MetalSd",5,5
"1Story",3,2,0,2850,"Attchd","HdBoard","Plywood",5,6
"2Story",3,2,1,3478,"Attchd","MetalSd","MetalSd",5,8
"2Story",3,2,1,3440,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,3,1,5890,"BuiltIn","VinylSd","VinylSd",5,10
"1Story",2,1,0,1560,"Detchd","HdBoard","HdBoard",7,5
"1Story",3,1,1,2316,"Detchd","VinylSd","VinylSd",5,6
"2.5Unf",3,1,0,2222,"Detchd","MetalSd","MetalSd",7,5
"1Story",2,2,0,2740,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,2,0,3420,"Detchd","Stucco","Stucco",6,7
"2Story",3,2,1,4068,"Attchd","VinylSd","VinylSd",5,7
"2Story",4,2,1,4946,"BuiltIn","VinylSd","VinylSd",5,8
"1Story",3,2,0,4414,"Attchd","Plywood","Plywood",5,7
"1Story",3,2,0,2958,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,1,0,1494,"Attchd","MetalSd","MetalSd",6,4
"1.5Fin",3,2,0,4574,"Attchd","BrkFace","AsbShng",4,7
"1Story",3,2,0,4446,"Attchd","Plywood","Plywood",6,7
"1Story",2,1,0,1690,"Detchd","HdBoard","Plywood",6,4
"2Story",3,2,1,3436,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,2172,"Attchd","Wd Sdng","Wd Sdng",7,5
"2Story",3,2,0,3210,"Detchd","VinylSd","VinylSd",6,3
"SLvl",2,1,0,1976,"BuiltIn","CemntBd","CmentBd",5,4
"1Story",2,1,0,1904,"Detchd","VinylSd","VinylSd",7,4
"1.5Fin",2,1,0,2570,"Detchd","Wd Sdng","Wd Sdng",5,5
"1Story",4,2,0,3536,"0","HdBoard","HdBoard",5,4
"2Story",2,1,1,2460,"Detchd","Wd Sdng","Wd Sdng",6,5
"2Story",4,2,1,4284,"Attchd","VinylSd","VinylSd",6,6
"1Story",2,2,0,2674,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,2,0,3126,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,1,1,2130,"Detchd","MetalSd","MetalSd",5,5
"SLvl",3,2,1,2948,"BuiltIn","HdBoard","HdBoard",5,7
"2Story",4,2,1,4834,"Attchd","HdBoard","HdBoard",5,8
"2Story",3,2,1,3120,"BuiltIn","VinylSd","VinylSd",5,6
"2Story",2,2,1,2448,"Detchd","VinylSd","VinylSd",5,6
"1.5Fin",2,1,0,2539,"0","Plywood","Plywood",2,3
"1Story",3,1,0,1980,"0","VinylSd","VinylSd",5,4
"1Story",2,1,0,2080,"Detchd","BrkFace","Wd Sdng",5,4
"1Story",2,1,0,2470,"Attchd","HdBoard","HdBoard",3,5
"1Story",2,1,0,1928,"Detchd","Wd Sdng","Wd Sdng",7,5
"2.5Unf",4,2,0,4582,"Detchd","MetalSd","MetalSd",6,6
"2Story",3,2,1,3572,"Attchd","VinylSd","VinylSd",5,6
"2Story",3,2,1,2940,"BuiltIn","VinylSd","VinylSd",8,6
"1Story",3,2,0,3176,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,1920,"Attchd","HdBoard","HdBoard",5,4
"1Story",2,1,0,1670,"Basment","Wd Sdng","Wd Sdng",5,5
"1Story",3,1,1,2450,"0","Plywood","Plywood",5,4
"1Story",3,2,0,3220,"Attchd","Plywood","Plywood",7,6
"2Story",3,2,1,3464,"Attchd","HdBoard","HdBoard",5,6
"1Story",4,2,0,3070,"Attchd","HdBoard","HdBoard",5,5
"1Story",3,2,0,2452,"Attchd","VinylSd","VinylSd",5,7
"1.5Fin",4,1,1,3636,"Detchd","Stucco","Stucco",4,7
"2Story",3,2,1,3984,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,2094,"Detchd","VinylSd","VinylSd",7,4
"1Story",2,1,0,1578,"Detchd","VinylSd","VinylSd",5,5
"1.5Fin",3,2,0,3034,"0","CemntBd","CmentBd",7,5
"1Story",3,2,0,3688,"Attchd","Plywood","Plywood",6,6
"1.5Fin",4,2,0,3710,"Attchd","Wd Sdng","Wd Sdng",4,6
"SLvl",3,2,1,2860,"BuiltIn","VinylSd","VinylSd",5,7
"2Story",4,2,1,5392,"BuiltIn","VinylSd","VinylSd",5,7
"1Story",3,2,0,4518,"Basment","Wd Sdng","Wd Sdng",5,6
"2Story",3,2,1,4640,"Detchd","Wd Sdng","Wd Sdng",8,6
"2Story",2,2,1,2916,"Detchd","MetalSd","MetalSd",5,6
"1Story",3,1,0,2184,"Attchd","Wd Sdng","Wd Sdng",5,5
"1Story",2,1,1,2250,"Attchd","VinylSd","VinylSd",5,5
"2Story",5,3,0,6444,"Attchd","Plywood","Plywood",5,7
"2Story",3,2,1,2912,"Attchd","VinylSd","VinylSd",5,6
"SLvl",1,1,0,1976,"Attchd","Plywood","Plywood",5,6
"1.5Fin",3,1,0,2246,"Detchd","AsbShng","AsbShng",5,4
"1Story",3,1,0,2160,"Attchd","MetalSd","MetalSd",7,6
"1Story",2,2,0,2398,"Attchd","Plywood","Plywood",5,6
"1Story",3,2,0,3172,"Attchd","HdBoard","HdBoard",5,6
"1.5Fin",2,1,0,1274,"0","Wd Sdng","Wd Sdng",8,6
"1Story",2,2,0,1916,"Attchd","Plywood","Plywood",5,6
"1.5Unf",3,1,0,1680,"0","WdShing","Wd Sdng",7,5
"2Story",3,1,1,2696,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,1,1,2106,"2Types","Plywood","Plywood",7,5
"2Story",4,2,1,4314,"Attchd","MetalSd","MetalSd",6,7
"2Story",3,2,1,4108,"BuiltIn","VinylSd","VinylSd",5,6
"1Story",3,1,0,2654,"Detchd","MetalSd","MetalSd",6,5
"1Story",2,2,0,2592,"Attchd","VinylSd","VinylSd",5,8
"1Story",3,2,1,3442,"Attchd","Plywood","Plywood",6,5
"1Story",3,2,0,3364,"Attchd","Plywood","Plywood",6,7
"1Story",3,2,0,2428,"Attchd","MetalSd","MetalSd",5,5
"1Story",5,3,0,3918,"2Types","VinylSd","VinylSd",5,7
"2Story",3,2,1,3704,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,2,1,3528,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,1,0,1728,"0","HdBoard","HdBoard",5,4
"1Story",3,2,0,3468,"Attchd","VinylSd","VinylSd",5,7
"1.5Fin",4,2,0,2770,"Detchd","BrkFace","Wd Sdng",4,5
"1Story",3,2,0,3002,"Attchd","VinylSd","VinylSd",5,7
"1Story",6,2,0,3456,"Detchd","HdBoard","HdBoard",5,5
"2Story",3,2,0,3418,"Detchd","VinylSd","VinylSd",5,6
"1Story",2,1,0,1750,"Detchd","Wd Sdng","Wd Sdng",7,5
"2Story",3,2,1,4070,"BuiltIn","VinylSd","VinylSd",5,7
"1Story",3,1,0,2160,"0","VinylSd","VinylSd",5,7
"1.5Fin",3,1,0,2688,"Detchd","MetalSd","MetalSd",4,5
"1Story",3,1,1,1938,"Attchd","HdBoard","HdBoard",6,5
"1Story",2,2,0,3420,"Attchd","VinylSd","VinylSd",5,8
"2Story",4,2,1,3986,"Attchd","HdBoard","HdBoard",5,6
"1Story",1,1,0,2504,"Attchd","BrkFace","Plywood",7,6
"1Story",4,1,0,2400,"Detchd","Wd Sdng","Wd Sdng",5,6
"1.5Fin",2,1,0,2192,"0","Wd Sdng","Wd Sdng",5,6
"1Story",2,1,0,2080,"Detchd","Wd Sdng","Wd Sdng",7,5
"2Story",4,2,1,3936,"BuiltIn","VinylSd","VinylSd",5,8
"2Story",3,2,1,3894,"Attchd","VinylSd","VinylSd",5,7
"2Story",4,2,1,4924,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,2464,"Attchd","Plywood","Plywood",6,6
"2Story",3,2,1,5336,"BuiltIn","VinylSd","VinylSd",5,9
"1Story",3,2,0,3082,"Attchd","VinylSd","VinylSd",5,7
"1.5Unf",1,1,0,1764,"0","MetalSd","MetalSd",6,4
"1Story",3,2,0,3232,"Detchd","MetalSd","MetalSd",7,6
"1.5Fin",4,2,0,2710,"0","Wd Sdng","Wd Sdng",7,5
"1Story",2,1,0,3734,"Attchd","Wd Sdng","Wd Sdng",5,5
"2Story",3,1,1,4322,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,2,1,3440,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,2,1,3414,"Attchd","Plywood","Plywood",6,8
"1.5Fin",2,1,1,2236,"Detchd","MetalSd","MetalSd",6,5
"1Story",3,1,0,3312,"Attchd","BrkFace","Plywood",5,6
"2Story",2,2,0,3534,"Attchd","HdBoard","HdBoard",7,7
"1Story",3,1,1,2724,"Attchd","WdShing","Wd Shng",5,6
"1Story",3,2,0,3302,"Attchd","VinylSd","Plywood",5,6
"1Story",4,2,0,4316,"Attchd","WdShing","Wd Shng",7,6
"2Story",4,2,1,4120,"Attchd","Plywood","Plywood",5,6
"1.5Fin",4,2,0,3840,"Attchd","MetalSd","MetalSd",5,5
"1Story",1,2,0,4468,"Attchd","VinylSd","VinylSd",5,9
"1Story",2,1,0,1936,"Detchd","Wd Sdng","Wd Sdng",6,5
"2Story",3,2,1,3050,"Detchd","MetalSd","MetalSd",5,6
"2Story",4,1,1,3604,"Detchd","Stucco","Stucco",6,7
"1Story",3,1,0,2680,"Attchd","Wd Sdng","Wd Sdng",6,5
"1.5Fin",3,2,1,4164,"Detchd","VinylSd","VinylSd",5,7
"1.5Fin",3,1,0,2504,"Attchd","AsbShng","Plywood",8,5
"2.5Fin",4,2,1,6644,"Detchd","Wd Sdng","Wd Sdng",9,10
"SLvl",3,2,0,2434,"Attchd","HdBoard","HdBoard",5,7
"1.5Fin",3,2,1,3168,"Detchd","HdBoard","HdBoard",7,5
"SFoyer",2,0,2,2448,"Detchd","Plywood","Plywood",5,5
"1Story",0,1,1,3186,"Attchd","CemntBd","CmentBd",5,8
"2Story",3,2,1,5454,"Detchd","BrkFace","BrkFace",8,8
"2Story",4,1,1,2958,"Attchd","HdBoard","HdBoard",9,7
"1Story",3,2,0,2862,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,0,3418,"Detchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,1728,"Detchd","HdBoard","HdBoard",7,5
"2Story",3,2,1,2912,"Attchd","Plywood","Brk Cmn",6,6
"1Story",3,2,0,3452,"Attchd","CemntBd","CmentBd",5,7
"2Story",4,2,0,5832,"Detchd","Stucco","Stucco",4,8
"2.5Fin",5,1,0,4087,"0","Wd Sdng","Wd Sdng",6,6
"1Story",3,2,0,3426,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,2,0,2242,"Attchd","VinylSd","VinylSd",5,4
"1Story",3,2,0,2558,"Detchd","Plywood","Plywood",6,6
"1.5Fin",2,2,0,2620,"Attchd","MetalSd","MetalSd",6,6
"1Story",1,1,0,1696,"Attchd","VinylSd","VinylSd",5,6
"1.5Fin",2,1,1,2568,"Detchd","AsbShng","AsbShng",7,5
"1Story",3,2,0,2884,"Attchd","HdBoard","HdBoard",5,7
"1Story",3,1,1,3392,"Attchd","HdBoard","HdBoard",5,5
"1Story",3,1,0,2200,"Attchd","Wd Sdng","Wd Sdng",5,4
"2Story",3,2,1,4124,"Attchd","Plywood","Plywood",5,7
"1Story",3,1,0,2184,"Attchd","HdBoard","HdBoard",7,6
"1Story",2,1,0,1728,"0","Stucco","Stucco",6,5
"1Story",3,2,0,2424,"Attchd","VinylSd","VinylSd",5,6
"2Story",3,2,1,3704,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,1980,"Attchd","VinylSd","VinylSd",5,5
"2Story",3,1,1,2784,"Attchd","HdBoard","HdBoard",7,6
"1Story",2,1,0,2472,"Attchd","HdBoard","HdBoard",6,5
"1Story",3,2,0,2872,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,1,0,2656,"Detchd","MetalSd","MetalSd",4,4
"1.5Fin",3,1,1,3908,"Attchd","VinylSd","VinylSd",9,7
"1Story",2,2,0,2496,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,2,0,2996,"Attchd","VinylSd","VinylSd",5,7
"2Story",4,2,1,4534,"BuiltIn","VinylSd","VinylSd",5,6
"2Story",3,2,1,3104,"Attchd","VinylSd","VinylSd",6,6
"1Story",2,1,0,1728,"Detchd","HdBoard","HdBoard",6,4
"1Story",3,2,0,4784,"Attchd","VinylSd","VinylSd",5,10
"2Story",3,2,1,2604,"Detchd","HdBoard","HdBoard",5,5
"2Story",4,2,1,5040,"Attchd","VinylSd","VinylSd",5,7
"2Story",2,1,1,1974,"Detchd","HdBoard","HdBoard",6,6
"1Story",3,1,0,1824,"Detchd","HdBoard","HdBoard",5,5
"1Story",2,2,0,3110,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,2388,"Attchd","MetalSd","MetalSd",6,6
"2Story",4,2,1,5588,"Attchd","VinylSd","VinylSd",5,8
"2Story",2,1,1,1974,"Attchd","HdBoard","HdBoard",5,6
"1Story",3,1,0,1788,"Attchd","HdBoard","HdBoard",6,5
"2Story",4,2,1,3920,"BuiltIn","VinylSd","VinylSd",5,6
"2Story",2,1,1,1974,"Detchd","HdBoard","HdBoard",3,6
"1Story",3,2,0,2828,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,3488,"Attchd","HdBoard","HdBoard",7,7
"1Story",3,2,0,3388,"Attchd","VinylSd","VinylSd",5,8
"1.5Fin",3,1,1,2974,"Detchd","VinylSd","VinylSd",4,6
"1Story",3,2,0,3132,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,1732,"0","VinylSd","VinylSd",9,5
"1.5Fin",3,1,0,2880,"Attchd","Wd Sdng","Wd Sdng",4,5
"2Story",3,1,1,2434,"Attchd","Plywood","Plywood",6,6
"2Story",3,2,1,4220,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,3744,"Attchd","Wd Sdng","Wd Sdng",5,7
"2Story",4,2,0,3856,"Detchd","AsbShng","AsbShng",8,6
"1Story",2,1,0,2750,"Attchd","Wd Sdng","BrkFace",5,6
"2Story",3,2,1,3336,"Attchd","VinylSd","VinylSd",5,7
"1.5Fin",4,2,0,4288,"Attchd","Wd Sdng","HdBoard",7,6
"1Story",3,1,0,2612,"0","Wd Sdng","Plywood",2,3
"1Story",2,2,0,3250,"Attchd","VinylSd","VinylSd",5,8
"2Story",3,2,1,3280,"Attchd","VinylSd","VinylSd",5,6
"SLvl",3,2,0,2604,"Attchd","HdBoard","HdBoard",7,6
"1Story",3,1,0,2628,"Attchd","MetalSd","MetalSd",6,5
"2Story",4,2,1,4582,"BuiltIn","VinylSd","VinylSd",5,7
"2Story",3,2,1,3456,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,2,1,3208,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,3584,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,1,0,1764,"Detchd","BrkFace","BrkFace",5,5
"SLvl",3,1,0,2764,"Attchd","Wd Sdng","Wd Sdng",5,6
"2Story",3,2,1,5148,"BuiltIn","CemntBd","CmentBd",5,8
"SLvl",3,1,0,2424,"Attchd","HdBoard","Plywood",7,6
"1.5Fin",3,1,0,2242,"Detchd","Wd Sdng","Wd Sdng",7,5
"1Story",2,1,0,1528,"Detchd","Wd Sdng","Wd Sdng",5,5
"1Story",3,2,0,2844,"Attchd","MetalSd","MetalSd",6,6
"2Story",3,2,1,3022,"Attchd","VinylSd","VinylSd",5,6
"2.5Fin",4,2,1,3964,"Detchd","Wd Sdng","Wd Sdng",8,5
"1Story",2,1,0,1556,"Detchd","VinylSd","VinylSd",6,5
"1Story",3,1,1,2226,"Attchd","HdBoard","HdBoard",7,6
"2Story",3,2,1,3878,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,2726,"Attchd","Plywood","Plywood",7,7
"2Story",4,2,1,4540,"Attchd","VinylSd","VinylSd",7,8
"1Story",3,2,0,3264,"Attchd","Wd Sdng","Wd Sdng",6,6
"1Story",2,1,0,1632,"Attchd","HdBoard","ImStucc",7,5
"1.5Fin",3,2,1,3096,"Detchd","Wd Sdng","Wd Sdng",7,7
"1Story",3,2,0,3120,"Attchd","VinylSd","VinylSd",5,7
"1Story",2,1,0,1728,"Detchd","VinylSd","VinylSd",5,4
"1Story",3,2,1,4242,"Attchd","CemntBd","CmentBd",5,9
"2Story",4,2,1,4044,"Attchd","Plywood","Plywood",5,7
"2Story",3,2,1,3964,"Attchd","Plywood","Plywood",6,7
"1Story",2,2,0,2524,"Attchd","VinylSd","VinylSd",5,6
"1Story",2,2,0,2628,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,2936,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,2,0,3150,"Attchd","Plywood","ImStucc",5,6
"2Story",2,2,1,2500,"Detchd","MetalSd","MetalSd",5,7
"1.5Fin",3,1,1,3468,"Attchd","Wd Sdng","Wd Sdng",7,6
"1Story",3,1,0,1716,"0","HdBoard","HdBoard",4,4
"1Story",3,1,0,1800,"Detchd","MetalSd","MetalSd",5,5
"2Story",3,1,0,2792,"Detchd","Wd Sdng","Wd Sdng",7,6
"2Story",3,2,1,3838,"Attchd","VinylSd","VinylSd",5,8
"2Story",6,2,0,3432,"0","VinylSd","VinylSd",6,5
"1.5Fin",3,1,1,3432,"Attchd","Wd Sdng","Wd Sdng",4,5
"2Story",3,2,1,4526,"Attchd","Plywood","Plywood",7,7
"1Story",3,1,0,3288,"Attchd","HdBoard","HdBoard",5,6
"SLvl",3,1,0,2006,"Detchd","HdBoard","HdBoard",6,6
"1.5Fin",4,1,1,3116,"Attchd","Wd Sdng","Wd Sdng",5,5
"2Story",3,2,1,3900,"Detchd","VinylSd","VinylSd",5,7
"2Story",3,1,2,3486,"Attchd","HdBoard","AsphShn",6,6
"1Story",3,1,0,2304,"Attchd","HdBoard","HdBoard",8,6
"1Story",2,1,0,2672,"Attchd","MetalSd","MetalSd",5,5
"2Story",4,2,1,4904,"BuiltIn","VinylSd","VinylSd",5,8
"1Story",3,2,0,3082,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,1,0,1788,"Attchd","VinylSd","VinylSd",7,5
"2.5Fin",3,3,0,6986,"Attchd","CemntBd","CmentBd",9,7
"1Story",3,2,0,4000,"Attchd","CemntBd","CmentBd",5,8
"2Story",4,2,1,4486,"Attchd","HdBoard","Plywood",5,7
"1.5Fin",3,1,0,2812,"0","MetalSd","MetalSd",7,6
"1Story",1,1,0,1722,"Detchd","VinylSd","VinylSd",5,4
"1Story",3,2,0,3888,"Attchd","VinylSd","VinylSd",5,9
"2Story",3,2,1,3002,"Attchd","HdBoard","HdBoard",5,6
"1Story",2,1,0,1944,"Detchd","VinylSd","VinylSd",6,6
"1.5Fin",3,1,0,2236,"Detchd","MetalSd","MetalSd",7,5
"1Story",3,2,0,4072,"Attchd","BrkFace","BrkFace",5,7
"2Story",3,1,1,3282,"Detchd","Wd Sdng","Wd Sdng",7,7
"2Story",3,2,1,2864,"Attchd","VinylSd","VinylSd",5,7
"2Story",4,2,1,4706,"Attchd","CemntBd","CmentBd",7,7
"2Story",3,2,1,3918,"Attchd","VinylSd","VinylSd",5,8
"2Story",4,2,1,5292,"Attchd","HdBoard","HdBoard",5,7
"SLvl",3,2,0,2944,"Attchd","Plywood","Plywood",5,7
"2Story",4,3,1,5192,"Attchd","VinylSd","VinylSd",5,9
"2Story",4,2,1,4936,"BuiltIn","VinylSd","VinylSd",5,8
"2Story",4,2,1,5460,"Attchd","Plywood","Plywood",5,7
"1Story",3,1,0,2326,"Attchd","VinylSd","VinylSd",8,3
"SLvl",5,2,1,5956,"BuiltIn","Wd Sdng","Wd Sdng",7,7
"1.5Unf",2,1,0,1606,"Detchd","MetalSd","MetalSd",6,5
"1Story",1,1,1,3438,"Attchd","BrkFace","BrkFace",5,8
"1Story",3,1,1,2766,"Attchd","Wd Sdng","Wd Sdng",5,6
"2.5Unf",5,2,0,4268,"Detchd","Wd Sdng","Wd Shng",6,6
"2Story",3,1,0,2384,"Detchd","Wd Sdng","Wd Shng",5,5
"1Story",6,2,0,3456,"Detchd","HdBoard","HdBoard",4,5
"1Story",3,1,0,2112,"Attchd","Wd Sdng","Wd Sdng",6,5
"1Story",3,2,0,3258,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,2,0,2716,"Attchd","VinylSd","VinylSd",5,7
"2Story",3,2,1,3276,"Attchd","VinylSd","VinylSd",5,6
"1.5Fin",3,2,0,3572,"Attchd","Plywood","Plywood",6,5
"1Story",3,2,0,3844,"Attchd","VinylSd","VinylSd",5,9
"1Story",3,2,0,3072,"Attchd","VinylSd","VinylSd",5,7
"1Story",3,2,0,3242,"Attchd","Wd Sdng","Wd Sdng",7,7
"1Story",3,1,0,2430,"Attchd","Wd Sdng","Wd Sdng",7,6
"2Story",4,2,1,3816,"Attchd","VinylSd","VinylSd",5,8
"1Story",2,1,0,1682,"CarPort","Wd Sdng","AsbShng",4,4
"1Story",2,2,0,2080,"Detchd","Stucco","Stucco",4,3
"1Story",2,2,0,3368,"Attchd","MetalSd","MetalSd",5,9
"2Story",3,1,1,2224,"Attchd","CemntBd","CmentBd",3,5
"1.5Fin",3,1,0,3154,"Detchd","MetalSd","MetalSd",5,6
"1Story",2,1,0,1916,"Attchd","MetalSd","MetalSd",8,6
"1Story",3,2,0,2956,"Attchd","Wd Sdng","Wd Sdng",5,6
"2Story",2,2,1,3252,"BuiltIn","VinylSd","Wd Shng",5,7
"2Story",4,2,1,5456,"Attchd","CemntBd","CmentBd",5,9
"1Story",2,2,0,3738,"Attchd","MetalSd","MetalSd",5,9
"1Story",2,1,1,2906,"Attchd","Wd Sdng","Wd Sdng",5,7
"1.5Fin",3,1,0,2222,"Detchd","VinylSd","VinylSd",6,5
"1Story",2,1,0,1440,"Detchd","VinylSd","VinylSd",8,6
"1.5Fin",2,1,0,3190,"Attchd","Wd Sdng","MetalSd",5,6
"1Story",3,2,0,2400,"Attchd","VinylSd","VinylSd",5,6
"1Story",3,2,0,2334,"Attchd","HdBoard","HdBoard",6,6
"1Story",3,1,1,2284,"Attchd","CemntBd","CmentBd",5,5
"SLvl",3,1,0,2704,"BuiltIn","Wd Sdng","ImStucc",4,5
"2Story",3,2,1,3848,"Attchd","VinylSd","VinylSd",5,8
"SFoyer",2,1,0,1824,"Attchd","VinylSd","VinylSd",6,6
"1.5Fin",3,1,0,3010,"Detchd","MetalSd","MetalSd",5,5
"SFoyer",4,3,0,3844,"BuiltIn","HdBoard","HdBoard",5,7
"2Story",2,1,1,1974,"Detchd","HdBoard","HdBoard",8,6
"2Story",3,2,1,3148,"Attchd","HdBoard","HdBoard",5,6
"2Story",3,1,0,2688,"Detchd","VinylSd","VinylSd",7,5
"1Story",3,1,1,2788,"Attchd","Plywood","Plywood",5,6
"SLvl",3,1,0,2862,"Basment","Plywood","Plywood",5,6
"1Story",2,1,0,2536,"Attchd","HdBoard","HdBoard",6,5
"1Story",3,1,0,2574,"Detchd","Wd Sdng","Wd Sdng",7,5
"2Story",3,2,1,3328,"Attchd","VinylSd","VinylSd",5,6
"1.5Fin",4,2,0,3176,"Detchd","WdShing","Plywood",4,4
"1Story",2,1,0,1504,"Attchd","Plywood","Plywood",5,6
"1Story",3,1,0,2638,"Attchd","MetalSd","MetalSd",6,5
"2Story",4,2,1,3856,"BuiltIn","VinylSd","VinylSd",5,7
