"HouseStyle","No_of_Bedrooms","No_of_Bath","Garage_Type","Total_Sqft","Lot_Location","YearBuilt","Year_Remodeled","FirstExterior","SecondExterior","MasonryVeneer_Type","Neighborhood","Overall_Quality","Overall_Condition","Sale_Condition","Actual Price","Predicted Sale Price","MLR Complete"
"2Story",3,2.5,"Attchd",2034,"Inside",1997,1998,"VinylSd","VinylSd","BrkFace","CollgCr",7,5,"Normal",219500,241271.27778659438,237376.43243402708
"2Story",4,2.5,"BuiltIn",2473,"Inside",2004,2005,"VinylSd","VinylSd","BrkFace","NridgHt",8,5,"Normal",317000,300473.6642067016,295976.3358491282
"1Story",3,2,"Attchd",2207,"Inside",1970,1989,"Plywood","Plywood","BrkFace","NAmes",7,5,"Normal",180000,249808.00439202055,251937.79295308003
"1Story",3,2,"Attchd",1479,"Inside",2003,2003,"VinylSd","VinylSd","BrkFace","CollgCr",7,5,"Normal",226000,212811.13941911442,208714.27440638887
"1Story",2,1,"Attchd",747,"Corner",1945,1950,"MetalSd","MetalSd","None","OldTown",4,6,"Normal",80000,59604.49026849259,82234.31201516208
"1.5Fin",3,2,"Attchd",2287,"Corner",1953,1953,"BrkFace","AsbShng","None","ClearCr",7,4,"Normal",225000,236214.1782192273,247166.2467799608
"1Story",3,2,"Attchd",2223,"Inside",1973,1973,"Plywood","Plywood","BrkFace","NAmes",7,6,"Normal",244000,242579.7812120574,260291.26889336878
"1Story",2,1,"Detchd",845,"Corner",1982,2006,"HdBoard","Plywood","None","Mitchel",4,6,"Normal",129500,94247.13733579728,113362.4530482078
"2Story",3,2.5,"Attchd",1718,"Corner",1998,1998,"VinylSd","VinylSd","BrkFace","Gilbert",7,5,"Normal",185000,222098.15027861376,216383.36355860275
"1Story",3,1,"Attchd",1086,"Inside",1954,2003,"Wd Sdng","Wd Sdng","BrkFace","NAmes",5,7,"Normal",144900,136311.59780747828,126720.91706909845
"2Story",3,2,"Detchd",1605,"Corner",1915,1950,"VinylSd","VinylSd","None","OldTown",3,6,"Normal",107400,77379.9563564487,80289.08423453383
"SLvl",2,1,"BuiltIn",988,"Inside",1973,1973,"CemntBd","CmentBd","None","MeadowV",4,5,"Normal",91000,86013.11698243294,94375.30324318074
"1Story",2,1,"Detchd",952,"Inside",1956,1956,"VinylSd","VinylSd","None","NAmes",4,7,"Normal",135750,75117.38378434558,102362.71944779088
"1.5Fin",2,1,"Detchd",1285,"Inside",1948,2001,"Wd Sdng","Wd Sdng","None","BrkSide",5,5,"Normal",127000,147360.93737540115,136633.61119572422
"1Story",4,2,"0",1768,"Inside",1968,1968,"HdBoard","HdBoard","None","Sawyer",4,5,"Normal",136500,125473.01586589814,151063.64140542247
"2Story",2,1.5,"Detchd",1230,"Corner",1910,1981,"Wd Sdng","Wd Sdng","None","OldTown",5,6,"Normal",110000,131123.0826746787,102572.44764673244
"2Story",4,2.5,"Attchd",2142,"Corner",1968,1968,"VinylSd","VinylSd","BrkFace","NAmes",6,6,"Normal",193500,203471.73451421995,208207.21769125364
"1Story",2,2,"Attchd",1337,"FR2",1998,1998,"VinylSd","VinylSd","BrkFace","Mitchel",6,5,"Normal",153500,172653.94268411712,186901.58486495353
"1Story",3,2,"Attchd",1563,"Inside",2007,2007,"VinylSd","VinylSd","Stone","Somerst",8,5,"Normal",245000,248936.7794111524,256179.53680395032
"1Story",3,1.5,"Detchd",1065,"Inside",1960,1960,"MetalSd","MetalSd","BrkCmn","NAmes",5,5,"Normal",126500,110350.5912810897,103141.48836200568
"SLvl",3,2.5,"BuiltIn",1474,"Inside",1995,1996,"HdBoard","HdBoard","BrkFace","Gilbert",7,5,"Normal",168500,206268.7066628803,183897.72258541454
"2Story",4,2.5,"Attchd",2417,"Corner",1991,1992,"HdBoard","HdBoard","BrkFace","NoRidge",8,5,"Normal",260000,290414.1955373782,287479.5738702561
"2Story",3,2.5,"BuiltIn",1560,"Inside",2005,2005,"VinylSd","VinylSd","None","Gilbert",6,5,"Normal",174000,187119.42311203215,185797.4210251798
"2Story",2,2.5,"Detchd",1224,"Corner",2009,2009,"VinylSd","VinylSd","Stone","Somerst",6,5,"Partial",164500,168782.56013281547,186039.91169635882
"1.5Fin",2,1,"0",1526,"Corner",1915,1982,"Plywood","Plywood","None","IDOTRR",3,2,"Abnorml",85000,94288.68670249378,73321.30989333126
"1Story",3,1,"0",990,"Inside",1994,1995,"VinylSd","VinylSd","None","CollgCr",4,5,"Normal",123600,97408.11075422261,114640.22802045383
"1Story",2,1,"Detchd",1040,"Inside",1950,1950,"BrkFace","Wd Sdng","None","NAmes",4,5,"Normal",109900,77382.10533127209,98375.33903474617
"1Story",2,1,"Attchd",1235,"Inside",1961,1961,"HdBoard","HdBoard","BrkCmn","NAmes",5,3,"Abnorml",98600,123829.67855296712,110848.14644111297
"1Story",2,1,"Detchd",964,"Inside",1921,2006,"Wd Sdng","Wd Sdng","None","Crawfor",5,7,"Normal",163500,130446.62961115903,98949.34413386881
"2.5Unf",4,2,"Detchd",2291,"Corner",1910,1998,"MetalSd","MetalSd","None","OldTown",6,6,"Normal",133900,230537.37193289405,194268.85650193342
"2Story",3,2.5,"Attchd",1786,"Inside",1997,1997,"VinylSd","VinylSd","None","CollgCr",6,5,"Normal",204750,196732.34252439163,199077.33092319034
"2Story",3,2.5,"BuiltIn",1470,"Corner",1993,1993,"VinylSd","VinylSd","BrkFace","Gilbert",6,8,"Normal",185000,175509.4614048635,186672.2501937966
"1Story",3,2,"Attchd",1588,"Inside",1999,1999,"VinylSd","VinylSd","BrkFace","CollgCr",7,5,"Normal",214000,217374.90130873743,214955.83325192472
"1Story",3,1,"Attchd",960,"Inside",1965,1965,"HdBoard","HdBoard","BrkFace","Edwards",4,5,"Normal",94750,80214.7250434409,87491.10288862209
"1Story",2,1,"Basment",835,"Corner",1920,1950,"Wd Sdng","Wd Sdng","None","Edwards",5,5,"Abnorml",83000,93923.07446553982,64213.06065334682
"1Story",3,1.5,"0",1225,"Inside",1959,1959,"Plywood","Plywood","None","NAmes",4,5,"Normal",128950,90566.83330767204,108032.16142262681
"1Story",3,2,"Attchd",1610,"Inside",1977,2001,"Plywood","Plywood","BrkFace","NWAmes",6,7,"Normal",205000,190755.38387277367,199229.33924800414
"2Story",3,2.5,"Attchd",1732,"Inside",1985,1985,"HdBoard","HdBoard","BrkFace","SawyerW",6,5,"Normal",178000,187306.66116623342,192636.93055265676
"1Story",4,2,"Attchd",1535,"Inside",1979,1979,"HdBoard","HdBoard","None","SawyerW",5,5,"Alloca",118964,145951.9227160245,151482.57008225657
"1Story",3,2,"Attchd",1226,"Corner",2009,2009,"VinylSd","VinylSd","None","CollgCr",7,5,"Normal",198900,200535.13293922335,198477.4829586069
"1.5Fin",4,1.5,"Detchd",1818,"Corner",1931,1950,"Stucco","Stucco","BrkFace","IDOTRR",7,4,"Normal",169500,208872.53568462172,182535.40643701935
"2Story",3,2.5,"Attchd",1992,"Inside",2003,2004,"VinylSd","VinylSd","BrkFace","Somerst",8,5,"Normal",250000,270776.81336286955,268775.8386545072
"1Story",2,1,"Detchd",1047,"Inside",1885,1995,"VinylSd","VinylSd","None","OldTown",4,7,"Normal",100000,100866.55464015581,66849.06545216334
"1Story",2,1,"Detchd",789,"Inside",1948,1950,"VinylSd","VinylSd","None","OldTown",5,5,"Partial",115000,91132.04957513756,98279.39212964126
"1.5Fin",3,2,"0",1517,"Corner",1919,2005,"CemntBd","CmentBd","None","IDOTRR",5,7,"Normal",115000,158183.18101657808,143128.93706383184
"1Story",3,2,"Attchd",1844,"Inside",1977,1977,"Plywood","Plywood","BrkFace","NWAmes",6,6,"Normal",190000,192654.68447205654,211730.5380420594
"1.5Fin",4,2,"Attchd",1855,"Inside",1954,1972,"Wd Sdng","Wd Sdng","None","Edwards",6,4,"Normal",136900,190759.91145315312,179216.6175219554
"SLvl",3,2.5,"BuiltIn",1430,"Inside",2000,2000,"VinylSd","VinylSd","None","Gilbert",7,5,"Normal",180000,205648.78429230393,185910.92646921077
"2Story",4,2.5,"BuiltIn",2696,"Inside",2007,2007,"VinylSd","VinylSd","Stone","CollgCr",7,5,"Partial",383970,286049.71205271286,300256.74416904873
"1Story",3,2,"Basment",2259,"Corner",1953,1953,"Wd Sdng","Wd Sdng","BrkFace","Crawfor",6,5,"Abnorml",217000,205536.06127053083,204561.34891289263
"2Story",3,2.5,"Detchd",2320,"Inside",1945,2002,"Wd Sdng","Wd Sdng","None","Crawfor",6,8,"Normal",259500,231694.69304914767,222886.55926410249
"2Story",2,2.5,"Detchd",1458,"Corner",1999,1999,"MetalSd","MetalSd","BrkFace","Somerst",6,5,"Normal",176000,177855.99837251462,188651.44203156373
"1Story",3,1,"Attchd",1092,"Inside",1962,1962,"Wd Sdng","Wd Sdng","BrkFace","Sawyer",5,5,"Normal",139000,115665.67001395137,122780.50148770073
"1Story",2,1.5,"Attchd",1125,"Corner",2006,2007,"VinylSd","VinylSd","None","Edwards",5,5,"Partial",155000,138075.66346512368,165972.6989998736
"2Story",5,3,"Attchd",3222,"Corner",1990,1990,"Plywood","Plywood","None","SawyerW",7,5,"Normal",320000,306601.03041551413,325580.8077644566
"2Story",3,2.5,"Attchd",1456,"Inside",2005,2006,"VinylSd","VinylSd","None","CollgCr",6,5,"Partial",163990,181321.7182844444,180848.35078497813
"SLvl",1,1,"Attchd",988,"CulDSac",1969,1969,"Plywood","Plywood","None","ClearCr",6,5,"Normal",180000,141921.82783648433,141877.5018509603
"1.5Fin",3,1,"Detchd",1123,"Inside",1939,1950,"AsbShng","AsbShng","None","IDOTRR",4,5,"Normal",100000,82418.08502482396,90608.3214550186
"1Story",3,1,"Attchd",1080,"Corner",1958,1958,"MetalSd","MetalSd","BrkFace","NAmes",6,7,"Normal",136000,141867.05518553316,151295.9862469968
"1Story",2,2,"Attchd",1199,"Inside",1993,1993,"Plywood","Plywood","None","SawyerW",6,5,"Normal",153900,161718.67599847604,179583.07067203242
"1Story",3,2,"Attchd",1586,"CulDSac",1979,1998,"HdBoard","HdBoard","None","NWAmes",6,5,"Normal",181000,187761.88176477276,193078.43740038713
"1.5Fin",2,1,"0",754,"Inside",1935,1982,"Wd Sdng","Wd Sdng","None","IDOTRR",6,8,"Normal",84500,134385.70480544583,129367.81594112283
"1Story",2,2,"Attchd",958,"Inside",1976,1976,"Plywood","Plywood","None","NPkVill",6,5,"Normal",128000,138384.67970185695,142099.159814836
"1.5Unf",3,1,"0",840,"Inside",1930,1950,"WdShing","Wd Sdng","None","OldTown",5,7,"Normal",87000,94226.44673623571,96934.5085489885
"2Story",3,1.5,"Attchd",1348,"Inside",1966,1966,"VinylSd","VinylSd","BrkFace","NAmes",6,5,"Normal",155000,159575.3244525981,150160.89168841438
"1Story",3,1.5,"2Types",1053,"Inside",1958,1991,"Plywood","Plywood","BrkFace","NAmes",5,7,"Abnorml",150000,125508.08832091275,107939.4429803351
"2Story",4,2.5,"Attchd",2157,"Corner",1966,1966,"MetalSd","MetalSd","BrkFace","NAmes",7,6,"Normal",226000,232336.20675333333,229473.79082848248
"2Story",3,2.5,"BuiltIn",2054,"Corner",2000,2000,"VinylSd","VinylSd","BrkFace","Gilbert",6,5,"Normal",244000,214530.41144235226,223768.88806701312
"1Story",3,1,"Detchd",1327,"Corner",1959,2002,"MetalSd","MetalSd","None","NAmes",5,6,"Normal",150750,150421.70285213357,148570.80402973015
"1Story",2,2,"Attchd",1296,"Inside",2001,2002,"VinylSd","VinylSd","BrkFace","Timber",8,5,"Normal",220000,230174.5081415572,232755.634930816
"1Story",3,2.5,"Attchd",1721,"Inside",1968,1993,"Plywood","Plywood","None","Sawyer",5,6,"Normal",180000,161759.51716099802,176594.9614074442
"1Story",3,2,"Attchd",1682,"Inside",1970,1970,"Plywood","Plywood","BrkFace","NWAmes",7,6,"Normal",174000,208217.58631410083,213390.50261461688
"1Story",3,2,"Attchd",1214,"Corner",1967,1967,"MetalSd","MetalSd","BrkFace","NAmes",5,5,"Normal",143000,120326.16210270546,126341.14884602698
"1Story",5,3,"2Types",1959,"Inside",1988,1989,"VinylSd","VinylSd","BrkFace","Mitchel",7,5,"Family",171000,229456.75643484396,209922.6880767434
"2Story",3,2.5,"Attchd",1852,"Inside",1999,2000,"VinylSd","VinylSd","BrkFace","CollgCr",8,5,"Normal",230000,260232.63617183696,244093.67641147948
"2Story",3,2.5,"Attchd",1764,"Inside",1997,1997,"VinylSd","VinylSd","None","CollgCr",6,5,"Normal",231500,195397.5045333297,197211.77127940906
"1Story",3,1,"0",864,"FR2",1971,1971,"HdBoard","HdBoard","None","NAmes",4,5,"Normal",115000,77464.60786340098,93953.52990587079
"1Story",3,2,"Attchd",1734,"Inside",2005,2005,"VinylSd","VinylSd","None","CollgCr",7,5,"Normal",260000,229308.00203037885,235279.53120100964
"1.5Fin",4,2,"Detchd",1385,"Corner",1952,1952,"BrkFace","Wd Sdng","None","NAmes",5,4,"Normal",166000,123014.91771720193,123657.57227601134
"1Story",3,2,"Attchd",1501,"Inside",1999,1999,"VinylSd","VinylSd","BrkFace","CollgCr",7,5,"Normal",204000,212096.22379862884,207578.39284242643
"1Story",6,2,"Detchd",1728,"Inside",1963,1963,"HdBoard","HdBoard","BrkFace","Sawyer",5,5,"Abnorml",125000,149463.07791869604,121861.51329497225
"2Story",3,2,"Detchd",1709,"Inside",2004,2006,"VinylSd","VinylSd","Stone","Edwards",6,5,"Normal",130000,199324.3468469868,203991.0331702372
"1Story",2,1,"Detchd",875,"Corner",1931,1993,"Wd Sdng","Wd Sdng","None","BrkSide",5,7,"Normal",105000,118384.9039552427,98952.1756542318
"2Story",3,2.5,"BuiltIn",2035,"CulDSac",2001,2001,"VinylSd","VinylSd","BrkFace","Gilbert",7,5,"Normal",222500,242869.2674493942,242739.37806761707
"1Story",3,1,"0",1080,"Inside",2004,2005,"VinylSd","VinylSd","BrkFace","SawyerW",7,5,"Normal",141000,194930.89235401584,197479.94727505557
"1.5Fin",3,1,"Detchd",1344,"Inside",1936,1950,"MetalSd","MetalSd","None","BrkSide",5,4,"Normal",115000,124806.371622382,116187.18088516546
"1Story",3,1.5,"Attchd",969,"Corner",1975,1975,"HdBoard","HdBoard","None","CollgCr",5,6,"Normal",122000,112212.41972703165,122471.25890941569
"1Story",2,2,"Attchd",1710,"Inside",2007,2008,"VinylSd","VinylSd","Stone","NridgHt",8,5,"Partial",372402,258368.36257249862,278645.9786445836
"2Story",4,2.5,"Attchd",1993,"CulDSac",1971,1971,"HdBoard","HdBoard","BrkFace","NWAmes",6,5,"Normal",190000,195968.5560561429,193726.43990935804
"1Story",1,1,"Attchd",1252,"Inside",1960,1975,"BrkFace","Plywood","None","ClearCr",6,7,"Normal",235000,161014.5141465489,185213.70329496148
"1Story",4,1,"Detchd",1200,"Corner",1923,1950,"Wd Sdng","Wd Sdng","None","OldTown",6,5,"Family",125000,145048.48245913966,113522.08847240079
"1.5Fin",2,1,"0",1096,"Corner",1924,1950,"Wd Sdng","Wd Sdng","None","Edwards",6,5,"Normal",79000,138738.339228665,133216.8804029459
"1Story",2,1,"Detchd",1040,"Inside",1950,1950,"Wd Sdng","Wd Sdng","None","NAmes",5,7,"Normal",109500,106361.33756407152,125701.29588823486
"2Story",4,2.5,"BuiltIn",1968,"Corner",2009,2010,"VinylSd","VinylSd","BrkFace","Timber",8,5,"Partial",269500,272395.25688085053,268161.63144296897
"2Story",3,2.5,"Attchd",1947,"Corner",2004,2005,"VinylSd","VinylSd","None","Somerst",7,5,"Normal",254900,239579.66909669392,251775.47462975164
"2Story",4,2.5,"Attchd",2462,"Corner",2005,2006,"VinylSd","VinylSd","BrkFace","Gilbert",7,5,"Partial",320000,271339.4513812581,279162.36803332553
"1Story",3,2,"Attchd",1232,"CulDSac",1984,1984,"Plywood","Plywood","None","Veenker",6,6,"Normal",162500,159108.98735908704,177113.68191905157
"2Story",3,2.5,"BuiltIn",2668,"Inside",2003,2004,"VinylSd","VinylSd","BrkFace","NridgHt",9,5,"Normal",412500,340771.97659375414,341726.2923298348
"1Story",3,2,"Attchd",1541,"Corner",2005,2005,"VinylSd","VinylSd","BrkFace","NridgHt",7,5,"Partial",220000,217597.83238151728,229181.29346649745
"1.5Unf",1,1,"0",882,"Inside",1956,1956,"MetalSd","MetalSd","None","OldTown",4,6,"Normal",103200,70870.17199460304,112513.03035088
"1Story",3,2,"Detchd",1616,"Corner",1926,2004,"MetalSd","MetalSd","None","OldTown",6,7,"Normal",152000,192656.74580626938,169400.42778505688
"1.5Fin",4,2,"0",1355,"Inside",1940,1999,"Wd Sdng","Wd Sdng","None","Edwards",5,7,"Normal",127500,145279.28902870978,127773.50998881832
"1Story",2,1,"Attchd",1867,"Inside",1955,1993,"Wd Sdng","Wd Sdng","None","ClearCr",5,5,"Normal",190000,178573.9624613084,189100.62313495227
"2Story",3,1.5,"Attchd",2161,"Inside",2007,2007,"VinylSd","VinylSd","Stone","NridgHt",8,5,"Partial",325624,287872.09465171164,304191.56536027277
"2Story",3,2.5,"Attchd",1720,"Inside",2004,2004,"VinylSd","VinylSd","None","Gilbert",7,5,"Normal",183500,225294.1296042134,221222.14696940896
